id_tableau,titre_tableau,source,provinces,communes,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Gitega,Nyarusange,16645,-,12051,14347,27487,54219,317451,30254,30817,56478
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Karusi,Bugenyuzi,36208,34417,34347,-,31094,55033,493385,39116,127496,71306
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Karusi,Buhiga,39454,57791,57510,173364,288122,340829,399493,82950,69250,142753
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Karusi,Gihogazi,43728,24943,24586,8834,58384,52759,503770,54678,72032,91993
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Karusi,Gitaramuka,43415,40998,46566,132758,63587,67095,455694,68137,84545,114899
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Karusi,Mutumba,22857,20110,21056,36571,40517,24097,391101,109246,120451,112348
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Karusi,Nyabikere,19205,17096,13871,41588,7095,5397,43954,31279,55121,78214
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Karusi,Shombo,41264,31366,37042,33250,143767,35852,425140,45200,50506,74015
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Butaganzwa,31526,38477,38476,75579,138719,149541,60707,65642,83750,125862
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Gahombo,34492,29698,27088,39285,42321,29820,35688,27684,37447,55120
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Gatara,33681,32979,32960,71468,83177,543254,49322,42647,56109,92290
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Kabarore,53642,110839,34846,84796,86341,124315,60850,61993,90756,204309
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Kayanza,68480,139520,116110,454023,375272,236862,193860,240272,370439,393005
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Matongo,45613,39259,43198,113333,77192,94878,77176,78254,94644,265646
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Muhanga,27085,37175,39622,61015,155839,54660,67152,87742,68385,100667
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Rango,39620,26540,23422,51151,59759,294836,73862,102050,51611,111474
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kayanza,Muruta,23018,-,-,27780,40201,30848,41584,45647,81247,79139
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Bugabira,47977,42706,52480,40083,114538,165844,116950,51366,71358,106943
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Busoni,74700,64918,89710,133069,118210,194756,141681,54279,125084,196244
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Bwambarangwe,66969,49037,43125,67032,62732,95515,84245,41775,71962,117818
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Gitobe,39177,42647,18227,46721,53494,66219,108165,30475,69169,95724
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Kirundo,59809,57492,47974,100084,89992,104871,146540,49194,85069,118950
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Ntega,65703,43199,45732,72356,92968,111461,196537,66214,104051,153426
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Kirundo,Vumbi,43939,36868,37740,38451,66626,72117,97348,54490,73481,119809
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Kayogoro,62367,73875,73195,101959,126913,161299,130100,65954,82332,162257
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Kibago,43284,40187,42131,44657,53494,33813,41491,35473,38695,74138
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Mabanda,27628,59461,111645,108906,178057,158161,227337,117150,143619,203333
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Makamba,55337,60702,60688,65701,73323,148831,123192,87724,83678,151597
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Nyanza-Lac,123478,127574,94856,128874,126873,193098,191246,64473,129170,207683
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Makamba,Vugizo,-,-,-,14585,61299,109380,115088,102339,107327,129800
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Bukeye,59820,98840,95017,139166,128537,108033,119251,48417,137238,155013
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Kiganda,19372,-,106001,19448,58389,67080,54732,86419,64429,-
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Mbuye,56485,62638,57772,36989,62183,89726,44867,88575,63038,70142
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Muramvya,49971,48638,47885,60643,102801,110917,109791,80779,80779,170897
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Rutegama,-,33828,44597,67287,95460,117538,77360,52000,95364,122261
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muramvya,Total,185648,243944,351272,323533,447370,493294,406001,356190,440848,518313
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Bisoro,19645,20775,23022,35993,3506,60082,52574,34377,50088,61929
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Gisozi,18012,14040,6887,25673,30920,90159,39880,89034,34399,56003
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Kayokwe,41444,35567,28379,55435,117446,1708589,84341,27719,105013,135347
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Ndava,28110,28230,31977,34822,27652,443589,52293,84965,65898,119611
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Nyabihanga,34656,36807,45798,64640,69910,107994,97735,47080,100170,117310
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Mwaro,Rusaka,25428,18627,17041,28035,28035,42211,48943,46872,59126,73355
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Buhinyuza,40362,144401,29271,40480,92530,81739,123148,42596,58802,91648
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Butihinda,105082,82629,79093,105149,208645,218732,1080288,56696,120554,199321
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Gashoho,49234,49978,680,67222,205929,108964,117360,101812,95676,159271
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Gasorwe,46274,44438,55718,105323,527709,585256,96246,-,137464,124079
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Giteranyi,89968,101325,78078,135670,274250,204269,206395,76897,189991,199486
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Muyinga,110406,115055,349963,186324,531658,246177,181840,216453,179031,270629
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Muyinga,Mwakiro,36877,108656,43262,56661,81723,64142,184367,62807,86522,106969
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Busiga,68187,66100,66100,81814,140267,286781,179812,330150,137870,141832
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Gashikanwa,44310,48481,58273,53667,-,8248,152811,108377,146613,337534
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Kiremba,76275,64489,94888,44671,77052,41074,114293,199136,106974,144531
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Marangara,16145,21019,21019,37943,59836,75518,53128,41924,72663,110008
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Mwumba,-,-,20100,73699,42389,23917,33129,91854,87566,110439
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Ngozi,224020,429367,221154,473267,749681,640211,315350,305354,370574,553031
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Nyamurenza,34418,29580,34938,33386,77593,48646,65460,94883,95481,118630
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Ruhororo,-,26410,29843,113245,86593,84354,16006,5392,71804,115065
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ngozi,Tangara,48364,120368,96981,59936,224087,76409,85830,80737,77463,135767
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Bugarama,"","","","","","","",37407,42909,55443
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Burambi,"","","","","","","",31472,35580,59066
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Buyengero,"","","","","","","",58935,84829,115402
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Muhuta,"","","","","","","",77945,107404,130248
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rumonge,Rumonge,"","","","","","","",191945,324809,502417
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Bukemba,27739,-,-,36413,-,47113,46091,39486,80662,140181
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Giharo,45635,42138,36645,50558,-,154240,121196,115945,171808,320423
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Gitanga,25679,23821,10096,30037,45350,52225,34158,26455,33302,52025
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Mpinga,37198,22443,15368,27284,22001,55396,73603,17870,29094,38387
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Musongati,37047,41523,45100,55748,100469,114981,45534,532290,78629,101858
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Rutana,Rutana,28049,31788,22053,38492,50721,22196,40357,34256,42589,161892
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Butaganzwa,24887,27133,25150,35104,44017,44758,44786,257378,65299,80925
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Butezi,26488,29234,25911,40403,90346,154240,469046,120234,52558,63493
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Bweru,28974,20175,26615,20398,17845,52225,42729,117432,33670,60687
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Gisuru,31686,65385,56130,63679,140768,55396,100597,-,117397,172247
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Kinyinya,39596,44726,40649,74636,77221,114981,60138,375210,83786,109914
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Nyabitsinda,26944,53180,40494,59824,92716,22196,71583,328146,135736,180986
15.09,Evolution des recettes de fonctionnement des communes (en milliers de FBU),Département des Finances Communales,Ruyigi,Ruyigi,41755,59462,-,24649,156804,"",71628,-,103937,139974
