id_tableau,titre_tableau,source,province,commune,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Nyabihanga,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muramvya,Rusaka,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,"",3,3,3,3,5,7,8,8,8,7,7
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,Buhinyuza,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,Butihinda,"","","","","","",1,1,1,1,0
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,Kobero,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,Gashoho,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,Gasorwe,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,Giteranyi,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,Mwakiro,"","","","","",1,1,1,1,0,1
10.11,Répartition des bureaux postaux par provinces, Régie,Muyinga,Muyinga,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,"",2,2,1,3,7,9,9,9,9,9,9
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Mparamirundi,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Ganshikanwa,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Musasa,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Marangara,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Mwumba,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Ngozi,1,1,"",1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Nyamurenza,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Ruhororo,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ngozi,Tangara,"","","",1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,"","","","","","","","","","","",8
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,Rango,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,Muhanga,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,Rwegura( Muruta),"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,Kayanza,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,Matongo,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,Gahombo,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,Gatara,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kayanza,Kabarore,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kirundo,"","","","","","","","","","","",7
10.11,Répartition des bureaux postaux par provinces, Régie,Kirundo,Vumbi,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kirundo,Ntega,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kirundo,Kirundo,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kirundo,Bwambarangwe,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kirundo,Gitobe,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kirundo,Bugabira,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Kirundo,Busoni,"","","","","","","","","","",1
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,"",1,1,1,1,2,8,8,8,8,8,8
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,Bugenyuzi,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,Buhiga,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,Gihogazi,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,Gitaramuka,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,Karuzi,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,Mutumba,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,Nyabikere,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Karuzi,Shombo/Rusi,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Makamba,"",3,3,3,3,4,6,6,6,6,6,6
10.11,Répartition des bureaux postaux par provinces, Régie,Makamba,Kayagoro,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Makamba,Kibago,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Makamba,Mabanda,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Makamba,Makamba,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Makamba,Nyanza-Lac,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Makamba,Vugizo,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,"",6,6,6,6,8,9,9,9,9,9,9
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Bururi,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Rutovu,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Matana,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Mugamba,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Rumonge,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Burambi,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Kiremba sud,"","","",1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Nyagasasa,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bururi,Vyanda,1,1,1,"",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rutana,"",1,1,1,1,1,6,6,6,6,6,6
10.11,Répartition des bureaux postaux par provinces, Régie,Rutana,Bukemba,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rutana,Giharo,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rutana,Gitanga,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rutana,Mpinga-kayove,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rutana,Musongati(t),"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Rutana,Rutana,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ruyigi,"",2,2,2,2,3,7,7,7,7,7,7
10.11,Répartition des bureaux postaux par provinces, Régie,Ruyigi,Butaganzwa,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ruyigi,Butezi,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Ruyigi,Bweru,"","","","","",1,1,1,1,1,1
