id_tableau,titre_tableau,source,code,produit,quantité,unité,2017,2018
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11521010,Huile de palme local raffiné,1,Litre,3450,3600
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11521020,Huile de palme local non raffiné,1,Litre,3223,2394
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11522010,Huile de coton GOLDEN,5,Litre,22754,23477
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11522020,Huile COOKI (SAVONOR),5,Litre,22067,22954
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11523010,Beurre emballé salé,250,gr,8458,-
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11523020,Margarine blue band Importé en pot en plastic,250,gr,2948,3051
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11523030,Huile d'olive importé,1,Litre,20840,25955
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11523040,Huile de tournesol local,5,Litre,26220,30407
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11523050,Huile de tournesol importé,5,Litre,26809,32689
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11523060,Huile d'arachide importé,1,Litre,5873,11415
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1,ALIMENTATION ET BOISSONS NON ALCOOLISÉES,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11,Produits alimentaires,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,116,Fruits,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,"",Fruits,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 21010,Avocats local,1,kg,1038,498
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 22010,Bananes mûres longues local,1,kg,1209,718
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 22020,Bananes mûres courtes local,1,kg,1230,1315
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 23010,Ananas local,1,kg,1340,539
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 14010,Oranges local,1,kg,1878,1002
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 14020,Citron local,1,kg,845,784
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 14030,Mandarines local,1,kg,1920,1174
12.02,Prix moyen à la consommation des ménages,ISTEEBU,0116 25010,Papayes local,1,kg,869,686
