id_tableau,titre_tableau,source,Bureau postal,2012,2013,2014,2015,2016,2017,2018,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Giharo,-,-,251,320,367,420,249,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gitanga,-,-,"",131,10719,182,199,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),"","","","","","","","","",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),"","","","","","","","","",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),"","","","","","","","","",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mpinga-kayove,"","","",256,633,680,712,751,396
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Musongati(t),"","",-,-,-,840,-,280,270
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Rutana,"","",3 698,3 627,3902,3964,4058,4094,1803
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Butaganzwa,"","",-,-,203,2012,225,235,153
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Butezi,"","",-,104,128,150,162,165,37
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bweru,"","",-,-,-,-,-,-,76
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gisuru,"","",172,-,250,282,-,350,150
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kinyinya,"","",108,112,114,128,128,135,83
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyabitsinda,"","",-,172,199,2019,227,244,99
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ruyigi,"","",3 172,3 144,3444,3506,3546,3596,140
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Rango,"","","","","","","","",59
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Songa,"","","","","","","","",1454
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Vumbi,"","","","","","","","",321
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Muhanga,"","","","","","","","",202
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Muriza,"","","","","","","","",18
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Muruta,"","","","","","","","",247
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mwaro,"","","","","","","","",2769
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ntamba,"","","","","","","","",96
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ntega,"","","","","","","","",87
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyakararo,"","","","","","","","",1010
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kayanza,"","","","","","","","",2267
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kibumbu,"","","","","","","","",482
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kirundo,"","","","","","","","",1335
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kiryama,"","","","","","","","",113
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Matongo,"","","","","","","","",225
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gahombo,"","","","","","","","",128
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bwambarangwe,"","","","","","","","",164
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gatara,"","","","","","","","",48
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gitobe,"","","","","","","","",77
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kabarore,"","","","","","","","",189
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bugabira,"","","","","","","","",226
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Busoni,"","","","","","","","",825
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Buyengero,"","","","","","","","",441
